nome_municipio,codigo_ibge,SG_UF,FEMININO,MASCULINO,NÃO DIVULGÁVEL,NÃO INFORMADO
AXIXÁ DO TOCANTINS,1702901,TO,11,40,0,0
AÇAILÂNDIA,2100055,MA,10,75,0,0
AÇUCENA,3100500,MG,5,49,0,0
BABAÇULÂNDIA,1703008,TO,6,45,0,0
BACABAL,2101202,MA,12,67,0,0
BACABEIRA,2101251,MA,6,46,0,0
BACURI,2101301,MA,12,46,0,0
BACURITUBA,2101350,MA,4,45,0,0
BADY BASSITT,3504602,SP,9,43,0,0
BAEPENDI,3104908,MG,6,51,0,0
BAGRE,1501105,PA,6,48,0,0
BAGÉ,4301602,RS,14,73,0,0
BAIANÓPOLIS,2902500,BA,2,49,0,0
BAIXA GRANDE,2902609,BA,7,49,0,0
BAIXA GRANDE DO RIBEIRO,2201150,PI,8,43,0,0
BAIXIO,2301802,CE,21,30,0,0
BAIXO GUANDU,3200805,ES,8,53,0,0
BAIÃO,1501204,PA,6,57,0,0
BALBINOS,3504701,SP,6,48,0,0
BALDIM,3105004,MG,7,41,0,0
BALIZA,5203104,GO,12,38,0,0
BALNEÁRIO ARROIO DO SILVA,4201950,SC,9,41,0,0
BALNEÁRIO BARRA DO SUL,4202057,SC,5,44,0,0
BALNEÁRIO CAMBORIÚ,4202008,SC,4,79,0,0
BALNEÁRIO GAIVOTA,4202073,SC,7,45,0,0
BALNEÁRIO PINHAL,4301636,RS,6,44,0,0
BALNEÁRIO PIÇARRAS,4212809,SC,8,51,0,0
BALNEÁRIO RINCÃO,4220000,SC,1,26,0,0
BALSA NOVA,4102307,PR,3,44,0,0
BALSAS,2101400,MA,13,66,0,0
BAMBUÍ,3105103,MG,6,52,0,0
BANABUIÚ,2301851,CE,16,42,0,0
BANANAL,3504909,SP,13,35,0,0
BANANEIRAS,2501500,PB,10,53,0,0
BANDEIRA,3105202,MG,15,37,0,0
BANDEIRA DO SUL,3105301,MG,6,44,0,0
BANDEIRANTE,4202081,SC,6,46,0,0
BANDEIRANTES,4102406,PR,9,56,0,0
BANDEIRANTES,5001508,MS,5,46,0,0
BANDEIRANTES DO TOCANTINS,1703057,TO,7,43,0,0
BANNACH,1501253,PA,8,41,0,0
BANZAÊ,2902658,BA,4,46,0,0
BARAÚNA,2401453,RN,19,39,0,0
BARAÚNA,2501534,PB,11,41,0,0
BARBACENA,3105608,MG,5,74,0,0
BARBALHA,2301901,CE,11,66,0,0
BARBOSA,3505104,SP,7,43,0,0
BARBOSA FERRAZ,4102505,PR,3,48,0,0
BARCARENA,1501303,PA,14,54,0,0
BARCELONA,2401503,RN,5,46,0,0
BARCELOS,1300409,AM,9,46,0,0
BARIRI,3505203,SP,4,49,0,0
BARRA,2902708,BA,8,61,0,0
BARRA BONITA,3505302,SP,9,54,0,0
BARRA BONITA,4202099,SC,3,49,0,0
